time_window_sec,amm_oracle,oracle_count,trade_count,oracle_trade_ratio,pool,pool_oracle_p99,pool_trade_p10
2566561,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566566,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566573,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2566577,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2566579,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2566581,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2566583,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2566587,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2566600,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566602,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566620,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2566626,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2566628,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566634,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2566638,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566647,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2566649,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566651,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566669,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2566671,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2566785,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566809,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566826,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566913,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566931,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566955,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2566956,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2566969,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2567008,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567090,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567120,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2567207,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567241,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567270,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567394,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567406,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2567440,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2567479,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2567480,BisonFi,12,0,12.0,BisonFi,10.0,0.0
2567481,BisonFi,16,0,16.0,BisonFi,10.0,0.0
2567483,BisonFi,21,0,21.0,BisonFi,10.0,0.0
2567484,BisonFi,13,0,13.0,BisonFi,10.0,0.0
2567491,BisonFi,19,0,19.0,BisonFi,10.0,0.0
2567494,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2567497,BisonFi,10,0,10.0,BisonFi,10.0,0.0
2567516,BisonFi,14,0,14.0,BisonFi,10.0,0.0
2567526,BisonFi,11,0,11.0,BisonFi,10.0,0.0
2567535,BisonFi,10,0,10.0,BisonFi,10.0,0.0
