amm_trade,attacker_signer,back_running,fat_sandwich,front_running,sandwich,validator,sandwich_complete,cost_sol,profit_sol,net_profit_sol,confidence
BisonFi,71wKmu7jUhSgbo1HGiuA3ShfgAHAJfqZxjMW7HJexyVR,0,8,0,0,krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,4,0.004,0.04,0.036000000000000004,high
BisonFi,7CpXUjkEqAb3NRWU9j9bmUZnGrh4nMBsJiX5NwBT5uv3,0,1,0,0,CLsFr1KZVbAyz16iFpwg2e4hiekR1unpwyxfNdjBMaoE,0,0.0,0.0,0.0,medium
BisonFi,7JJ4RrYC4wBb2ZangbVW4XbQenhEbkdoo7vhoWoShYjp,0,10,0,1,Sh1ro1CaaVjNuihgNK6kay7jwcWzSqD2fdix6RNPaSh,5,0.005,0.05,0.045000000000000005,high
BisonFi,7JQeyNK55fkUPUmEotupBFpiBGpgEQYLe8Ht1VdSfxcP,0,2,0,0,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,1,0.001,0.01,0.009000000000000001,medium
BisonFi,7JXsUz39AF1tMFYoSt6yreujEKFQnEUpQQyzK3Daxr4N,0,1,0,0,6M53yM6dsE6hiaHgxWvYa4fsfzQTGyAZn7rM6JrzbqJV,0,0.0,0.0,0.0,medium
BisonFi,7N64ZSHtgdqfsGdiYMBjk1Sz3KzGYyJdzVTf1bVZzoUp,0,1,0,0,CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,0,0.0,0.0,0.0,medium
BisonFi,7jN6hUdNBdkK12wVM2iydxx9hzsxUhUppmr99Aeu6cKb,0,2,0,0,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,1,0.001,0.01,0.009000000000000001,medium
BisonFi,7rtiKSUDLBm59b1SBmD9oajcP8xE64vAGSMbAN5CXy1q,0,1,0,0,ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,0,0.0,0.0,0.0,medium
BisonFi,7vMSQNwtqUSXLL882rrgkKGBWwUdLyY4CSu25y3hFzz2,0,1,0,0,9q16BB7WGmBxf1nJTdxH5zPnBUhtHqdqXqRFjSjuM4k7,0,0.0,0.0,0.0,medium
BisonFi,82uGui1spthKWZccMYXcKaRrNREN5a1kBUihfq7gL3bs,0,1,0,0,8uPW9msN75rfaKiwy8y8NxEX5zSk2WejtVv5YhZr3jCo,0,0.0,0.0,0.0,medium
BisonFi,888SGnyhGzqQuuWDVL48tn7xJsAEV259mK9V4YEcUn6f,0,4,0,0,E1r4Psq84tHfQ6aPTvvDka4U3u8zPVD7gEUrH25RdxHL,2,0.002,0.02,0.018000000000000002,medium
BisonFi,88S3zQ4RhahQJSMrusV3sxhZXJewo4oQ3ErNTXaN9VgR,0,25,0,0,CiR8HNCfkjtcongPmP2DRdZPnFgjSbN5gsXdjmsXXHcB,12,0.012,0.12,0.108,high
BisonFi,8B56ppYnCceiSiJRPxyxqp9myggQyUAW2D83JAnp8Leb,0,1,0,0,FNKgX9dYUhYQFRTM9bkeKoRpsyEtZGNMxbdQLDzfqB8a,0,0.0,0.0,0.0,medium
BisonFi,8BqPz57R477iHSEwZpryDh8u6PD6fdmzKK6Wn9AjMnK3,0,1,0,0,Mwz8VgAEnPtfqS62r3ixrFiMJwnNfEwR141CGnsTo5k,0,0.0,0.0,0.0,high
BisonFi,8WkQfv3rC8kFmjsb5aeX5endDXgb2SktdJfNUgv7wjMF,0,1,0,0,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,0,0.0,0.0,0.0,medium
BisonFi,8esxfrDpo92xawsCLR8fj6YJYVQjeroYhgUpiu4kEb48,0,1,0,0,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,0,0.0,0.0,0.0,medium
BisonFi,8jtt2EgUvMLnoCamfRwXyMCF37HTrtcr76VL16Btbwro,0,1,0,0,HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN,0,0.0,0.0,0.0,high
BisonFi,8oKVwqA5S2B7g2Li6yqZ4KKghpER8G1vj3bbeg8dFkSw,0,20,0,2,8tjFeSApQ85ThoQXT28acfF2KUfQr3TvTdirSkzNnYC7,11,0.011,0.11,0.099,high
BisonFi,8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,0,1,0,0,9Wmaz9VPpEnH67ZqrvYd9bcH66DtsGaEKcSQE1ac5wkf,0,0.0,0.0,0.0,high
BisonFi,8zrxRCK1HjFNGhsvc7NJXfj2ybPxR3p25FhwFmEeyrAe,0,2,0,0,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,1,0.001,0.01,0.009000000000000001,medium
BisonFi,92eSno2a7EqaBrj11tqxwaVTyZcwxhRNKCQsznLzDm25,0,11,0,0,9rkJMARqK6VBkcxGfKBAwnA44gPAfGxPbPsfsggFNDSQ,5,0.005,0.05,0.045000000000000005,high
BisonFi,99WHBf1vR8XQtMsMKFU3JMh6ZihZSVSGDjVtyABbAM9J,0,6,0,0,FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2,3,0.003,0.03,0.027,high
BisonFi,9ALtCwp8AyhEFd4yQEqKAgL9tpkekpsm46bChZcRMibu,0,13,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,6,0.006,0.06,0.054,high
BisonFi,9CXNmcRzZenixwtzAEVA3Jdo3yC6Hscxcpa4R7tQ6tTV,0,1,0,0,4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib,0,0.0,0.0,0.0,medium
BisonFi,9TXFVx8N9dPneS3ETRt8KWtUXLRUsz6j6JM3bEXqkR3Z,0,65,0,0,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,32,0.032,0.32,0.28800000000000003,medium
BisonFi,9XLcx4qeRMef4S1uMTsyv5Uv8SAXpo8aE9d97NDxYRvL,0,1,0,0,4vdWYn2KbmQ3Dns5wVBfz4CFQDds4b7CpsC8MHBhHAib,0,0.0,0.0,0.0,medium
BisonFi,9XUWb3unwaGczFkEJAZiQd2xaZmm6NK68G775JEn2kaZ,0,7,0,0,5ZqveVffQPiUbkjBg4KD9kib1MKHLqiFno4ke9jSq9qk,3,0.003,0.03,0.027,high
BisonFi,9Xr3Ehn7X3cGGyUmTYSq1nd1HXU3CaF6GJbEG3wQ5Up8,0,1,0,0,Aw5wEMXhbygFLR7jHtHpih8QvxVBGAMTqsQ2SjWPk1ex,0,0.0,0.0,0.0,high
BisonFi,9bq2UPcp2A5jRAGD2FyA5SipKUnMTS1uvGDLhtA5Ek3y,0,1,0,0,7GkMBmtrTZz8QbjSe1sXvAUtz7Pp42SQxfT5ymmJD4We,0,0.0,0.0,0.0,medium
BisonFi,9osj5ksZcrYVeft5pjN1KUNpuM9xiZpjLPxtiMHG4AT5,0,5,0,0,krakeNd6ednDPEXxHAmoBs1qKVM8kLg79PvWF2mhXV1,2,0.002,0.02,0.018000000000000002,high
BisonFi,A3vFkGBrj4MRugemEXWdSFztWgBXi9eQPtD3V28Va7WH,0,48,0,0,Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,24,0.024,0.24,0.216,high
BisonFi,A8A9GoxfmcjY2QAQ8tYS98SqDBF6hUFDmxAKBsLw29sL,0,23,0,0,JupmVLmA8RoyTUbTMMuTtoPWHEiNQobxgTeGTrPNkzT,11,0.011,0.11,0.099,high
