signer,aggregator_likelihood,unique_pools,pool_list,total_trades,trades_per_hour,mev_score,top_pools
GubguXqXoczcdwXucvf3Qn2ggEfDwFVcYPqG4D6NkMya,1.0,1,ZeroFi,2,20.0,0.3,ZeroFi(2)
CJDebH1qeXAZNrEAMjiSLV3SKoeLf8HokHa5VYH1f8Dh,1.0,1,HumidiFi,4,0.41641360142156664,0.375,HumidiFi(4)
9zR8qn5hUtRKSfT2iy2NzbZaZ4sCREpNr29bXJdYvCVZ,1.0,1,ZeroFi,2,1.508161668227893,0.5,ZeroFi(2)
9vBMFutVi5vQoy96tzvjz7JwYipajUgnbzSoqSGbtA89,1.0,1,ZeroFi,2,20.0,0.4,ZeroFi(2)
DXL6xPS7UtewzmDc5ZdwrocYXkWyZrkKb5GQRDQFBGJf,1.0,1,SolFiV2,2,1.8779381907943467,0.3,SolFiV2(2)
4paNcQmwASf3ojNxTiNxVZP5yto5uvm7V5qAxVkT6taf,1.0,1,HumidiFi,3,1.4672088999805053,0.3,HumidiFi(3)
5NP91VXzqZkScKLxJkpBtKzEaJ7BRnWKT13ntU3cD8Lu,1.0,1,GoonFi,3,0.31523572802348715,0.3,GoonFi(3)
A2g47Bj1kKDeBDEkgZ2XBYzm2uJBqhzi7aeyTyBAXdRA,1.0,1,TesseraV,5,48.916100734556785,0.36,TesseraV(5)
FGtJTnswLJPQmGB5Sp2EzLaJy2HiVtCk3zq9XsS2xtuZ,1.0,1,GoonFi,4,0.5117077671055911,0.36666666666666664,GoonFi(4)
84XoEh96XvF8NGkS6d6qjMPjVXW3Zan67X47mGp9fdwm,1.0,1,ZeroFi,2,0.25738088850385027,0.44999999999999996,ZeroFi(2)
5tJZ2ByhDT39NiBrZj9kYNLPfRunJfLLRncuNFVdFpUq,1.0,1,GoonFi,4,0.8001452708191688,0.5166666666666666,GoonFi(4)
BeXWwR2Ei5qkrxzG9kAoDqPHrt2X1jP9BwZ7U2JN6ZGm,1.0,1,ZeroFi,3,30.0,0.5,ZeroFi(3)
Ct26R4KZ5UctvzjDQX7sMyXTvdy2NLydnE2AMFpKMNKH,1.0,1,ZeroFi,3,30.0,0.5333333333333333,ZeroFi(3)
87bxKmsceV6isQ3BuAc8gXiokAMenFixeBBMi8vW7PhJ,1.0,1,HumidiFi,2,2.820102158200681,0.3,HumidiFi(2)
BDVk8GmTEX5ucFYvdxAxaHXrTb1B7b9GT1QoforhA5Xh,1.0,1,TesseraV,2,0.49255065028315503,0.44999999999999996,TesseraV(2)
F64ZJnqyxyT3jjbsCaBYbHQPfnY2pwES9jqxTFwAHc1A,1.0,1,GoonFi,3,0.3638329436783571,0.3,GoonFi(3)
EUgV1twjL7LWPK23jGwmWhCvp63Cqmtd2C8gky2o9e9w,1.0,1,SolFiV2,2,20.0,0.6,SolFiV2(2)
EbKUXDpxVLJDrBtVg2jSMmg2r44PYDjqvBemFNs2gzXf,1.0,1,HumidiFi,2,5.361662770773278,0.3,HumidiFi(2)
HWJYZhx7bJg9dZ3cis9nKejm17EtDWeqD36K4Pxj6W7G,1.0,1,GoonFi,2,1.499048104453672,0.3,GoonFi(2)
CQ374mwhWvhz1GBQNyBwd9LUZJvPE62pT6rXpyxeTK17,1.0,1,SolFiV2,2,20.0,0.3,SolFiV2(2)
CJfc7ZxHjCoByGrdhJV5Ctjgk4SAF6aXo6EpCq6r4LmS,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
62tG1RLnLE6EHFMrTA15SXivrJNzGbsnLBaXLkJBct8z,1.0,1,GoonFi,2,1.261413603154375,0.3,GoonFi(2)
E1h7LhAX3EwnS6SUrTy6LAPt5jpoxFFfjs5xVUBjGNE7,1.0,1,TesseraV,2,20.0,0.3,TesseraV(2)
4YE4GHB586JzZzRaAC7vVTv6DCL64Wzc3dmTFUwc5oTG,1.0,1,HumidiFi,2,0.6863650905563409,0.6,HumidiFi(2)
91d8DrFupR8NUkVSJwKKo8ckERJV93XPcdXjpzx9NDG4,1.0,1,SolFiV2,2,20.0,0.44999999999999996,SolFiV2(2)
bvFSWfT72MJwoeW2fkireML7JMkCPKunLA6Ds8KsqcD,1.0,1,ZeroFi,7,4.346908856188558,0.4285714285714286,ZeroFi(7)
8q39v2gUunrywxJknZBXJQ5nGsdvwipBmpagQCPA41jT,1.0,1,HumidiFi,3,0.40216076510638715,0.3,HumidiFi(3)
4KrmpzKCcfibcMZssFLJMm1SL5tLBf3mkdmTF5rSqvCM,1.0,1,SolFiV2,3,30.0,0.3,SolFiV2(3)
AtynKER6c1vzkAemqLX77xnBXcoV8tUoCKJhHVS5ZWdL,1.0,1,ZeroFi,2,8.709463194655292,0.6499999999999999,ZeroFi(2)
HncJ3G6EnPVg6dwseY3W3WZkYQN744oFte7G87HJmUKz,1.0,1,HumidiFi,2,20.0,0.3,HumidiFi(2)
Ck25qs87bp3FXyxFPhp7i32ZL8eJJVr264Qcn1dFJtCM,1.0,1,TesseraV,2,20.0,0.3,TesseraV(2)
Ej68TzyBh2kqCwD5G4czVRrADowrUB3gNT54JyRH8NaN,1.0,1,HumidiFi,2,10.480151030620963,0.3,HumidiFi(2)
5bKYWDdCyALcMqEMrutQE4qJdumRUAYV5ER1iSMoVi1V,1.0,1,ZeroFi,3,0.5991112849766577,0.7333333333333333,ZeroFi(3)
3YP1iwAcxrxSwwKEv1vFdoQ8QGxQBWoCuy5n1H3QwQa6,1.0,1,ZeroFi,2,20.0,0.6499999999999999,ZeroFi(2)
8JGeFAUT17JJw7T76pQHjeufAERp34bckUkegD9hA3rp,1.0,1,GoonFi,2,8.814390962311133,0.3,GoonFi(2)
45kWL7yJqhyhz6tRGPu5BdyNTzg4Z8xgjqfC7u4Y6BZv,1.0,1,HumidiFi,2,20.0,0.44999999999999996,HumidiFi(2)
8sHZnkwAZujGtLseygvP8pbQ98PpJNg6Zh4yiuaS88iA,1.0,1,ZeroFi,2,20.0,0.6499999999999999,ZeroFi(2)
FJhuetWAjXAtEJhcWmW35URUcFtVfBMC798iaAoBmZtq,1.0,1,HumidiFi,2,20.0,0.44999999999999996,HumidiFi(2)
2mQj1wKkRxcgBJizAziAcVUsfC7cc4KmioDy4ssGLnUH,1.0,1,SolFiV2,2,0.6908580197533579,0.3,SolFiV2(2)
EM62tjttJQbc9JRXoKWYC3XCi2zfaRFCTmWKZoQT9Fnf,1.0,1,SolFiV2,2,20.0,0.3,SolFiV2(2)
HANh7crCwHqBePDSoDozW6ejcyFbjtJJgCvuv5A85VN5,1.0,1,SolFiV2,2,20.0,0.5,SolFiV2(2)
FsxUYqADnDGMQyoxpnMYNZbdZkSwX5T1dBvwEisbAq8L,1.0,1,ZeroFi,2,20.0,0.5,ZeroFi(2)
G4n1z8EWYiP2pgtUoTpRQm5LkJCE2DSq9vrtCna2dqYd,1.0,1,SolFiV2,2,20.0,0.3,SolFiV2(2)
GneZcXmtbeYV8MPFjks9R7s1k3uUTHWbq1DP4EJefLQF,1.0,1,HumidiFi,2,20.0,0.44999999999999996,HumidiFi(2)
51bnK1TFZK2jpXuZ8e85d91ddLvsoQFbekVZdAwFK81d,1.0,1,ZeroFi,2,18.08331889179394,0.4,ZeroFi(2)
DkLeB2oaQ185kXqthp4beBMwCkawTb2GzF5nfAApTPLd,1.0,1,TesseraV,2,6.456078936325127,0.3,TesseraV(2)
28a78Dyc3BDaZU3vzEnk66x3N6k7f8GJ57WPFXko5hKZ,1.0,1,ZeroFi,3,0.9460974138689996,0.5333333333333333,ZeroFi(3)
3UefUcYmKAknpSU35zoeDRkbXt2fguMyqqG1qfsJAsUT,1.0,1,HumidiFi,6,12.530594083587186,0.39999999999999997,HumidiFi(6)
C9PSbWfZ43YyahkPCpaMbVBo9MuxuYUBYG1B3svDyVBc,1.0,1,HumidiFi,2,20.0,0.5,HumidiFi(2)
5dgoXEBV4d4D9zcgxCJfvPLWjAvYqKc2Q4zPLosYXevE,1.0,1,SolFiV2,2,20.0,0.3,SolFiV2(2)
42aXfvcRUWG5p9DYx9sGRuQ4456VWW1jniniaJ5ks7PT,1.0,1,HumidiFi,2,4.961455691099769,0.3,HumidiFi(2)
CiZR3qfoPCnvsH3uxa4Swrds2V1wbvkZYwb3CdZuNy3y,1.0,1,HumidiFi,2,20.0,0.44999999999999996,HumidiFi(2)
2cCq1XGjkUiJMfdZ2aaD3JsYVUA2GoZ26iEGi28jji3h,1.0,1,ZeroFi,2,0.5143513675638455,0.5499999999999999,ZeroFi(2)
3PJ58f6uFarS7qh1WoeYAL4mYeJw5tArYV5cZVj8FmwJ,1.0,1,TesseraV,2,20.0,0.3,TesseraV(2)
